board_width,board_height,move_count,verdict,percentage_moves
1000,1000,822206,True,0.0234916
1000,1000,658434,True,0.0188124
1000,1000,1840009,True,0.052571685714285714
1000,1000,1664255,True,0.04755014285714286
1000,1000,447542,True,0.012786914285714285
1000,1000,794095,True,0.02268842857142857
1000,1000,199882,True,0.005710914285714286
1000,1000,647527,True,0.018500771428571428
1000,1000,1315266,True,0.03757902857142857
1000,1000,288857,True,0.008253057142857142
1000,1000,1226192,True,0.03503405714285714
1000,1000,765729,True,0.021877971428571428
1000,1000,1706768,True,0.0487648
1000,1000,1098730,True,0.03139228571428571
1000,1000,960945,True,0.02745557142857143
1000,1000,1022892,True,0.029225485714285713
1000,1000,1893868,True,0.054110514285714284
1000,1000,703845,True,0.02010985714285714
1000,1000,618340,True,0.017666857142857144
1000,1000,674639,True,0.0192754
1000,1000,1880907,True,0.0537402
1000,1000,1620345,True,0.04629557142857143
1000,1000,1924828,True,0.05499508571428571
1000,1000,221534,True,0.006329542857142857
1000,1000,1846520,True,0.05275771428571428
1000,1000,1678187,True,0.0479482
1000,1000,908583,True,0.025959514285714285
1000,1000,1920969,True,0.054884828571428575
1000,1000,1759066,True,0.05025902857142857
1000,1000,625484,True,0.017870971428571428
1000,1000,543385,True,0.015525285714285714
1000,1000,1888950,True,0.05397
1000,1000,672333,True,0.019209514285714286
1000,1000,1678394,True,0.047954114285714285
1000,1000,1305153,True,0.037290085714285715
1000,1000,1785668,True,0.05101908571428571
1000,1000,686561,True,0.019616028571428572
1000,1000,1667473,True,0.047642085714285715
1000,1000,900389,True,0.0257254
1000,1000,1579793,True,0.045136942857142856
1000,1000,1037356,True,0.029638742857142856
1000,1000,327748,True,0.009364228571428572
1000,1000,949402,True,0.027125771428571428
1000,1000,528679,True,0.015105114285714285
1000,1000,401731,True,0.01147802857142857
1000,1000,216308,True,0.006180228571428571
1000,1000,1541657,True,0.04404734285714286
1000,1000,996852,True,0.028481485714285715
1000,1000,741432,True,0.02118377142857143
1000,1000,56580,True,0.0016165714285714286
1000,1000,1880898,True,0.053739942857142856
1000,1000,366450,True,0.01047
1000,1000,634178,True,0.018119371428571427
1000,1000,1866838,True,0.05333822857142857
1000,1000,746922,True,0.02134062857142857
1000,1000,1556634,True,0.04447525714285714
1000,1000,458927,True,0.0131122
1000,1000,1219447,True,0.034841342857142854
1000,1000,1435272,True,0.04100777142857143
1000,1000,1421668,True,0.04061908571428571
1000,1000,1201486,True,0.034328171428571426
1000,1000,1005112,True,0.028717485714285715
1000,1000,1363777,True,0.03896505714285714
1000,1000,971814,True,0.027766114285714287
1000,1000,816750,True,0.023335714285714286
1000,1000,1149164,True,0.03283325714285714
1000,1000,1334336,True,0.03812388571428572
1000,1000,682682,True,0.0195052
1000,1000,1475079,True,0.04214511428571428
1000,1000,327929,True,0.0093694
1000,1000,339260,True,0.009693142857142857
1000,1000,293692,True,0.0083912
1000,1000,172868,True,0.004939085714285714
1000,1000,1888894,True,0.0539684
1000,1000,538898,True,0.015397085714285714
1000,1000,1201689,True,0.034333971428571426
1000,1000,111196,True,0.0031770285714285713
1000,1000,914419,True,0.026126257142857143
1000,1000,344500,True,0.009842857142857143
1000,1000,1566336,True,0.044752457142857145
1000,1000,26912,True,0.0007689142857142857
1000,1000,337572,True,0.009644914285714287
1000,1000,1633656,True,0.046675885714285714
1000,1000,1839109,True,0.052545971428571425
1000,1000,302479,True,0.008642257142857143
1000,1000,168273,True,0.0048078
1000,1000,198377,True,0.005667914285714286
1000,1000,277983,True,0.007942371428571428
1000,1000,1283237,True,0.036663914285714284
1000,1000,1448669,True,0.04139054285714286
1000,1000,826941,True,0.023626885714285714
1000,1000,1782680,True,0.050933714285714284
1000,1000,258070,True,0.007373428571428572
1000,1000,500324,True,0.014294971428571428
1000,1000,1289595,True,0.03684557142857143
1000,1000,1155717,True,0.033020485714285716
1000,1000,528835,True,0.015109571428571429
1000,1000,638042,True,0.018229771428571427
1000,1000,1133485,True,0.032385285714285714
1000,1000,1682106,True,0.04806017142857143
1000,1000,654236,True,0.018692457142857142
1000,1000,419696,True,0.011991314285714285
1000,1000,454964,True,0.012998971428571428
1000,1000,1082886,True,0.0309396
1000,1000,378870,True,0.010824857142857143
